time[h],concentration[ng/ml]
0.0,0.0
0.3478405,0.326947272
0.674593866,1.24665272
0.990924835,1.46719074
1.49885774,1.541024
2.00393057,1.42299259
3.01029515,0.9332787
4.0025773,0.498875946
4.99801,0.2758494
6.97794533,0.09648366
8.98939,0.0308792964
