time[h],concentration[ng/ml]
0.0,0.0
8.0,0.265625
16.0,0.1875
24.0,0.328125
32.0,0.21875
40.0,0.203125
48.0,0.375
72.0,0.421875
96.0,0.3125
96.5,2.890625
97.0,5.640625
98.0,2.640625
99.0,1.71875
100.0,1.078125
102.0,0.65625
104.0,0.234374985
108.0,0.140625
