time[h],concentration[µg/l]
0.0,101.4838
0.08,69.19669
0.17,53.86954
0.25,43.83197
0.5,30.33027
0.75,23.61209
1.0,19.78679
1.5,14.31035
2.0,11.64389
3.0,7.26787138
4.0,4.536453
5.0,2.873573
6.0,2.408037
7.0,1.417053
8.0,1.136154
