time[h],concentration[µg/l]
0.166,11.32861
0.25,25.02655
0.5,39.22858
0.75,39.73082
1.0,34.82043
1.5,28.8941422
2.0,26.5119
3.0,15.3277388
4.0,9.049178
5.0,5.137743
6.0,3.087141
7.0,2.051339
8.0,1.183564
