time[h],concentration[µg/l]
0.0,0.1160542
0.08,3.82978725
0.17,12.06963
0.25,20.88975
0.33,27.38878
0.5,34.23598
0.75,37.83366
1.0,37.36944
1.5,35.16441
2.0,34.58414
2.5,29.47776
3.0,23.21083
4.0,14.62282
5.0,9.632495
6.0,6.731141
8.0,2.7853
