time[h],concentration[µg/l]
0.02,130.099091
0.05,77.95708
0.5,35.48944
0.75,25.1322327
1.0,21.91043
1.5,15.75383
2.0,13.00695
3.0,7.72147
4.0,3.82893085
5.0,2.36971
6.0,1.051775
7.0,0.480056
8.0,0.3228327
10.0,0.2063347
