time[h],concentration[µg/l]
0.0333333351,147.5687
0.0833333358,102.4498
0.166666672,71.99279
0.25,57.8344536
0.333333343,47.59988
0.5,45.88348
0.6666667,42.64436
0.8333333,28.19406
1.0,28.18796
1.5,19.08598
2.0,15.89112
3.0,8.637947
4.0,5.433095
5.0,3.631468
6.0,2.368938
7.0,1.564291
