time[h],concentration[µg/l]
24.0833,47.69975
24.1659985,35.16366
24.33,27.86863
24.5,21.76949
25.0,13.66864
25.5,10.98606
26.0,9.089128
26.5,7.19891739
27.0,6.131299
27.5,5.072464
28.0,3.73650169
29.0,2.520631
30.0,1.72526586
31.0,1.114275
32.0,0.7626743
