time[h],concentration[mg/l]
0.172,0.43
1.28,0.765
2.02,0.822
2.94,0.779
4.16,0.742
6.0,0.657
7.83,0.62
11.9,0.533
23.9,0.425
36.0,0.3
48.6,0.237
71.2,0.148
96.7,0.0915
