time[h],concentration[mg/l]
73.0,6.33
73.493,9.76
74.04,10.1
74.54,10.1
75.03,10.1
76.04,10.1
76.94001,10.0
77.99,9.67
79.05999,9.58
79.96,9.4
91.0,7.69999933
