time[h],concentration[mg/l]
1.16,0.527
1.48,0.76
2.08,1.11
2.4,1.32
4.18,1.65
6.1,1.65
8.45,1.54
12.0,1.41
24.1,1.17
35.5,0.918
48.1,0.742
72.3,0.464
95.9,0.287
120.0,0.182
144.0,0.119
