time[h],concentration[µg/ml]
0.5,1.39465
1.0,1.567191
2.0,3.984513
3.0,3.832566
4.0,4.595036
6.0,4.535868
8.0,4.595036
10.0,4.715698
12.0,4.251262
24.0,3.984513
28.0,3.832566
36.0,2.844682
48.0,2.498898
52.0,2.403605
56.0,2.223781
72.0,1.567191
