time[h],concentration[µg/ml]
0.5,0.7684729
1.0,1.403941
2.0,2.674877
4.0,3.325123
6.0,3.761084
8.0,3.672414
10.0,3.62069
12.0,3.731527
24.0,3.317734
48.0,2.20936
72.0,1.211823
96.0,0.6945813
120.0,0.1995074
