time[h],concentration[µg/ml]
0.5,0.68
1.0,1.36
2.0,1.88
3.0,2.18
4.0,2.3
5.0,2.44
6.0,2.47
8.0,2.41
12.0,2.44
24.0,2.16
36.0,1.77
48.0,1.43
