time[h],concentration[µg/ml]
1.0,0.487104625
2.0,1.020156
3.0,1.507251
4.0,1.838087
5.0,2.168942
6.0,2.288399
8.0,2.518096
10.0,2.637498
12.0,2.784492
15.0,2.821146
24.0,3.050592
29.0,2.783863
39.0,2.489376
48.0,2.23169
72.0,1.284111
96.0,0.7593447
168.0,0.1776468
216.0,0.05640461
