time[h],concentration[µg/ml]
0.5,0.2472591
1.0,0.5411809
2.0,1.017062
3.0,1.292289
4.0,1.455561
6.0,1.628144
8.0,1.735389
10.0,1.767997
12.0,1.76794
25.0,1.622945
49.0,1.211701
73.0,0.8051168
97.0,0.5291762
121.0,0.3278987
169.0,0.149268
