time[h],concentration[µg/ml]
2.0,1.846473
8.0,7.551867
24.0,9.66805
32.0,5.228216
48.0,4.66805
56.0,4.605809
72.0,3.609958
82.0,2.966805
98.0,2.46888
105.0,1.639004
