time[h],concentration[µg/ml]
6.0,1.267573
8.0,1.575486
10.0,1.704544
12.0,1.823605
18.0,1.90684
24.0,2.034991
36.0,2.341041
48.0,2.159321
72.0,1.97526109
96.0,1.408332
120.0,0.9309974
144.0,0.6078339
168.0,0.4338669
