time[h],concentration[µg/ml]
0.0,0.02975333
0.125,0.3931053
0.25,0.8307928
0.5,1.164057
3.0,1.06394
4.0,1.426958
6.0,1.675507
8.0,1.779644
12.0,1.92314911
18.0,1.98662817
24.0,2.094688
30.0,2.168069
36.0,2.246424
48.0,2.079677
72.0,1.91556382
96.0,1.313763
120.0,0.851496
144.0,0.528237
168.0,0.3691944
