time[h],concentration[µg/ml]
0.5,0.2462618
1.0,0.8135989
1.5,1.276646
2.0,1.614363
3.0,2.229806
4.0,2.27272
6.0,2.293264
8.0,2.290822
10.0,2.266271
12.0,2.264059
18.0,2.170865
24.0,2.021036
30.0,1.863038
36.0,1.717543
42.0,1.49301
48.0,1.297946
54.0,1.150491
60.0,1.030013
72.0,0.7782413
78.0,0.6898898
84.0,0.5997012
96.0,0.4487749
108.0,0.3491622
120.0,0.2586953
