time[h],concentration[µg/ml]
0.5,0.6740883
1.0,1.075662
1.5,1.921819
2.0,2.638858
3.0,3.227046
4.0,3.944263
5.0,4.159849
6.0,4.289236
7.0,4.562048
8.0,4.447773
10.0,4.262202
12.0,4.363363
24.0,3.938213
48.0,2.42825
72.0,1.549098
