time[h],concentration[µg/ml]
0.5,0.395
1.0,0.715
1.5,0.854
2.0,1.042
3.0,1.66
4.0,1.902
5.0,1.9740001
6.0,2.114
8.0,2.044
10.0,2.08
12.0,2.12
24.0,2.26
48.0,1.232
72.0,0.754
96.0,0.418
120.0,0.238
