time[h],concentration[µg/ml]
0.5,10.9
1.0,1.78
2.0,1.18
3.0,0.91
4.0,0.78
5.0,0.9
6.0,0.87
8.0,0.73
12.0,0.77
24.0,0.5
36.0,0.37
48.0,0.33
