time[h],concentration[µg/ml]
1.0,0.6057702
2.0,1.328664
5.0,1.673494
7.0,1.838154
8.0,1.851716
12.0,1.774011
18.0,1.651505
24.0,1.700606
28.0,1.526929
32.0,1.294184
48.0,1.05157
72.0,0.5878423
97.0,0.4079486
120.0,0.2398325
168.0,0.1097955
