time[h],concentration[µg/ml]
1.0,0.8382042
2.0,1.59261
4.0,2.578707
6.0,2.930533
8.0,3.142446
10.0,3.559864
12.0,3.184143
24.0,3.009929
48.0,2.176546
72.0,1.25944
