time[h],concentration[µg/ml]
0.125,0.3485081
0.25,1.113977
0.75,2.179815
2.0,3.43937
4.0,3.720121
7.0,3.603426
12.0,3.370202
24.0,2.845333
48.0,1.718067
72.0,1.123708
