time[h],concentration[µg/ml]
2.0,2.099039
4.0,2.418984
6.0,2.714461
8.0,2.595089
10.0,2.964154
12.0,3.540213
16.0,2.831636
24.0,3.144998
30.0,2.79779
36.0,2.380619
48.0,1.6339
58.0,1.587331
72.0,1.138602
82.0,0.8855531
96.0,0.6351685
106.0,0.5119027
120.0,0.3606898
130.0,0.2521208
144.0,0.234066
154.0,0.2043821
