time[h],concentration[µmol/l]
0.5,3.06122446
1.0,4.359184
2.0,2.86530614
3.0,1.51836729
4.0,0.8081633
5.0,0.391836733
6.0,0.171428576
8.0,0.09795918
10.0,0.07346939
12.0,0.09795918
