time[h],concentration[µmol/l]
0.5,16.033226
1.0,12.3015041
1.5,8.780407
2.0,6.41994667
3.0,3.68931413
4.0,2.12011719
5.0,1.21835566
6.0,0.7346979
8.0,0.3087022
10.0,0.190692991
12.0,0.149876043
16.0,0.09037888
24.0,0.069343254
