time[h],concentration[µmol/l]
0.5,2.34375
1.0,3.03125
1.5,3.65625
2.0,3.5
3.0,2.46875
4.0,1.84375
5.0,1.1875
6.0,0.65625
8.0,0.1875
12.0,0.09375
16.0,0.03125
24.0,0.03125
