time[h],concentration[µmol/l]
0.5,5.556098
1.0,5.972424
1.5,5.423875
2.0,5.16879272
3.0,4.161471
4.0,3.87138319
5.0,2.76326537
6.0,1.7485491
8.0,0.91253823
10.0,0.7709555
12.0,0.5502826
16.0,0.2736771
24.0,0.0710337
