time[h],concentration[ng/ml]
0.08333333,298.0
0.166666672,249.000015
0.25,235.0
0.5,169.0
0.75,144.0
1.0,104.0
1.5,89.0
2.0,54.0
3.0,36.0
4.0,27.0
5.0,14.0
6.0,12.0
8.0,6.0
10.0,6.0
12.0,2.0
