time[h],concentration[ng/ml]
0.25,12.10635
0.5,64.88906
0.75,60.44231
1.0,58.33107
1.25,53.18992
1.5,45.83131
2.0,35.00319
3.0,23.0306187
4.0,16.97242
5.0,10.85523
6.0,7.72142267
7.0,5.895428
8.0,4.406638
10.0,2.738073
