time[h],concentration[ng/ml]
0.08333333,305.0
0.166666672,267.0
0.25,254.000015
0.5,233.0
0.75,177.0
1.0,162.0
1.5,123.999992
2.0,104.0
3.0,53.0
4.0,47.0000038
5.0,34.0
6.0,27.0
8.0,13.0
10.0,7.0
12.0,5.0
