time[h],concentration[ng/ml]
0.25,142.0
0.5,75.0
0.75,53.0
1.0,45.0
1.5,26.0
2.0,19.0
3.0,13.0
4.0,8.0
5.0,6.0
6.0,5.0
8.0,2.0
10.0,2.0
12.0,2.0
