time[h],concentration[ng/ml]
0.08,41.39717
0.25,17.138361
0.5,13.4773207
0.75,10.04696
1.0,8.792599
1.5,6.7339344
2.0,4.888967
2.5,3.94977212
3.0,3.36645
4.0,2.318148
6.0,1.223207
8.0,0.866071463
10.0,0.5510271
24.0,0.06595455
