time[h],concentration[ng/ml]
0.08333333,291.0
0.166666672,239.999985
0.25,226.0
0.5,172.0
0.75,142.0
1.0,119.000008
1.5,83.0
2.0,55.0
3.0,35.0
4.0,24.0
5.0,16.0
6.0,9.0
8.0,4.0
10.0,2.0
12.0,2.0
