time[h],concentration[ng/ml]
0.0,0.05
0.25,20.13605
0.5,27.82313
0.75,25.10204
1.0,19.38775
1.5,18.16327
2.0,15.37415
3.0,10.34014
4.0,7.278912
5.0,4.897959
6.0,3.8095243
