time[h],concentration[ng/ml]
0.0,0.05
0.25,22.00745
0.5,23.36745
0.75,24.59116
1.0,20.84052
1.5,17.29136
2.0,13.94671
3.0,8.279476
4.0,5.474252
5.0,3.895693
6.0,2.930243
