time[h],concentration[ng/ml]
0.25,157.0
0.5,78.0
0.75,51.0
1.0,38.0
1.5,26.0
2.0,21.0
3.0,16.0
4.0,10.0
5.0,6.0
6.0,2.0
8.0,2.0
10.0,2.0
12.0,2.0
