time[h],concentration[µg/l]
0.17,25.9
0.33,9.68
0.5,5.52
0.75,3.77
1.0,2.84
1.5,1.79
2.0,1.3
3.0,0.96
4.0,0.75
8.0,0.45
24.0,0.25
48.0,0.14
72.0,0.088
96.0,0.052
