time[h],concentration[µg/l]
0.25,0.3579696
0.5,0.4718958
0.75,0.6004288
1.0,0.9184952
1.5,1.058316
2.0,0.7859313
3.0,0.5795313
4.0,0.3761704
5.0,0.2793533
6.0,0.20599
8.0,0.1642043
12.0,0.1318257
23.0,0.1254474
