time[h],concentration[µg/l]
0.5,0.912217259
1.0,1.27046
1.5,1.030102
2.0,0.8344988
2.5,0.700424969
3.0,0.5663604
3.5,0.4602587
4.0,0.3765437
5.0,0.293039024
6.0,0.2318936
8.0,0.227103621
10.0,0.205512092
14.0,0.1735546
