time[h],concentration[µg/l]
0.0,0.05
0.33,0.2746269
0.67,1.265672
1.0,1.707463
1.5,1.802985
2.0,1.659701
2.5,1.480597
3.0,1.21791
4.0,0.8955224
6.0,0.5850746
