time[h],concentration[µg/l]
0.1,8.556727
0.41,4.619717
1.41,2.32356
2.08,1.677318
4.08,0.9651957
8.08,0.6354434
12.08,0.5673436
24.08,0.3735147
32.08,0.2754229
