time[h],concentration[µg/l]
0.25,0.52
0.5,1.83
0.75,2.83
1.0,2.1
2.0,1.03
3.0,0.6
4.0,0.54
6.0,0.365
8.0,0.28
24.0,0.175
48.0,0.12
72.0,0.056
96.0,0.0310000014
