time[h],concentration[µg/l]
0.25,0.7742805
0.5,1.554856
0.75,1.806655
1.0,1.93255413
1.5,1.718525
2.0,1.542266
4.0,0.9946043
6.0,0.5877036
8.0,0.46759668
12.0,0.3597748
24.0,0.3327477
48.0,0.1904048
