time[h],concentration[µg/l]
0.06666667,31.32979
0.0833333358,18.03192
0.166666672,12.92553
0.25,13.1383
0.333333343,10.0
0.5,7.92553234
0.75,5.053192
1.0,4.255319
1.25,3.191489
1.5,2.819149
2.0,1.968085
3.0,1.43617
4.0,1.010638
6.0,0.7446808
8.0,0.7978724
10.0,0.5319149
