time[h],concentration[mg/l]
95.98333,0.000585869653
119.98333,0.0006069712
120.25,0.0008293269
120.5,0.00146634609
121.0,0.00167668285
121.5,0.001610577
122.0,0.001340144
123.0,0.001111779
124.0,0.000907451962
126.0,0.0006911057
128.0,0.0007331731
132.0,0.0006430288
144.0,0.0005959646
215.983337,0.000578260748
287.983337,0.0005896739
336.25,0.0009478895
336.5,0.00138223
337.0,0.00168514391
337.5,0.00158673094
338.0,0.001336992
339.0,0.001087556
340.0,0.0008578469
342.0,0.0006944589
344.0,0.0006429455
348.0,0.0005924852
359.983337,0.0006056323
360.0,0.0005606618
