time[h],concentration[µg/l]
0.0,7.837463
0.5,3.548048
1.0,2.262771
1.5,1.474328
2.0,1.181599
2.5,1.173193
3.0,1.069201
4.0,0.8880534
5.0,0.8817355
7.0,0.7809534
11.0,0.6039448
23.0,0.566357
35.0,0.3907059
