time[h],concentration[µg/l]
0.1,8.99179
0.41,5.029658
1.41,2.715477
2.08,1.826159
8.08,0.7218742
12.08,0.6399615
24.08,0.4854604
32.08,0.4427452
48.08,0.3311311
