time[day(s)],concentration[mg/l]
23.0083332,1.193
23.0144234,1.90463877
23.0212536,1.40077329
23.0286522,1.44045341
23.0349121,1.19292355
23.0559731,1.10471809
23.0969543,0.7215202
23.1794834,0.398526669
23.2637234,0.2125701
