time[day(s)],concentration[µmol/l]
7.010686,3.10784316
7.01869154,7.180584
7.03774,9.946829
7.08303976,10.1251726
7.12057924,6.993258
7.16574526,5.570471
7.21092129,4.528764
7.24859476,3.99725842
7.372714,1.8252039
7.496844,0.8506208
7.66986847,0.2909207
7.993721,0.07717008
