time[day(s)],concentration[mg/l]
14.0002308,0.06613014
14.0105886,0.07994624
14.0209484,0.454355121
14.0313072,0.4635205
14.041667,0.5831961
14.081953,0.6254203
14.12454,0.4153025
14.1671267,0.3140039
14.2511511,0.210602924
