time[h],concentration[ng/ml]
0.5,0.746199965
1.0,1.43209994
2.0,6.85759974
3.0,11.3856
4.0,13.8949995
6.0,14.1488
8.0,13.5226
10.0,11.6991005
12.0,10.3064
24.0,5.1328
30.0,3.5734
36.0,2.60289979
48.0,1.1841
60.0,0.6398
72.0,0.352
