time[h],concentration[ng/ml]
3.0,0.5158124
4.0,6.15536261
5.0,9.697274
6.0,12.4138861
7.0,12.757762
8.0,11.2103252
9.0,11.4166508
10.0,11.6229725
12.0,10.9352245
24.0,6.224138
32.0,3.57630062
48.0,1.40988743
