time[h],concentration[ng/ml]
0.0,0.45425868
1.0,4.318612
2.0,7.58359575
3.0,10.02839
5.0,9.429022
7.0,7.678234
9.0,5.675079
11.0,3.97160888
23.0,2.44164
35.0,1.164038
