time[h],concentration[µmol/l]
0.5,0.031719
0.75,0.035278
1.0,0.029864
1.5,0.027773
2.0,0.024431
2.5,0.019656
3.0,0.016873
4.0,0.012695
5.0,0.013402
6.0,0.010244
8.0,0.00806
9.0,0.007406
11.0,0.006194
12.0,0.004835
15.0,0.003723
