time[h],concentration[ng/ml]
1.0,103.004
1.5,86.7645
2.0,81.9716
2.5,74.8566
3.0,66.5587
4.0,50.955
5.0,32.84
6.0,27.3561
7.0,28.7903
8.0,24.1135
