time[h],concentration[ng/ml]
0.4974,28.782999
0.75,43.95
0.9988,43.1130028
1.5013,41.857
2.0011,37.420002
2.5016,34.029
3.0011,31.71
4.0011,24.619
6.0001,14.076
8.001901,8.51
11.0,5.21699953
