time[h],concentration[ng/ml]
48.0,77.4464
48.5,68.8373
49.0,82.3309
50.0,191.665
51.0,240.951
52.0,204.955
54.0,137.463
57.0,76.8106
60.0,63.2983
63.0,49.0030975
72.0,29.5901
78.0,19.3862019
