time[h],concentration[ng/ml]
48.0,99.1
48.5,90.8
49.0,145.1
49.5,157.1
50.0,150.6
51.0,158.3
52.0,151.3
54.0,133.6
56.0,106.9
58.0,85.2
60.0,71.0
64.0,49.4
72.0,28.8
