time[h],concentration[ng/ml]
0.5,12.8200006
1.0,31.670002
1.5,27.45
2.0,24.289999
3.0,21.12
4.0,17.51
6.0,12.0599995
8.0,7.75999975
12.0,5.21
24.0,2.19
