time[h],concentration[ng/ml]
0.03,16.6
0.08,69.9
0.17,46.7
0.25,42.3
0.5,35.5
0.75,30.8
1.0,28.4
1.5,29.6
2.0,24.6
3.0,21.1
4.0,19.7
6.0,14.5
8.0,8.25
10.0,5.8
12.0,3.4
